id,type,en,ru_ref,ru_mt,bleu,chrf
s071,документация,The interface language is selected in the user profile settings.,Язык интерфейса выбирается в настройках профиля пользователя.,Язык интерфейса выбирается в настройках профиля пользователя.,1.0,1.0
s072,документация,Empty values in required fields cause a validation error.,Пустые значения в обязательных полях приводят к ошибке проверки.,Пустые значения в требуемых полях вызывают ошибку в подтверждении.,0.277762,0.485332
s073,документация,The server responds with code 429 when the request limit is exceeded.,При превышении лимита запросов сервер отвечает кодом 429.,Сервер отвечает кодом 429 при превышении предела запроса.,0.513345,0.760672
s074,документация,Temporary files are removed when the session ends.,Временные файлы удаляются при завершении сеанса.,Временные файлы удаляются после окончания сессии.,0.411134,0.611535
s075,документация,Compatibility with earlier versions is preserved.,Совместимость с предыдущими версиями сохраняется.,Сопоставимость с предыдущими версиями сохраняется.,0.759836,0.866581
s076,документация,The certificate must be renewed before the expiration date.,Сертификат необходимо продлить до даты окончания срока действия.,Срок действия свидетельства должен быть продлен до истечения срока его действия.,0.13546,0.381842
s077,документация,Access to the API is provided over HTTPS only.,Доступ к API предоставляется только по протоколу HTTPS.,Доступ к ИПЦ обеспечивается только в случае ПЗТП.,0.226792,0.366776
s078,документация,Duplicate entries are ignored during import.,При импорте повторяющиеся записи игнорируются.,Дублирующие записи игнорируются во время импорта.,0.290715,0.58602
s079,документация,The default time zone is UTC.,Часовой пояс по умолчанию — UTC.,По умолчанию часовой пояс - UTC.,0.472871,0.841256
s080,документация,Detailed logging noticeably reduces performance.,Подробное журналирование заметно снижает производительность.,Детальная заготовка леса заметно снижает производительность.,0.411134,0.614527
s081,маркетинг,"Work faster, worry less.",Работайте быстрее и спокойнее.,"Работай быстрее, меньше волнуйся.",0.359304,0.448015
s082,маркетинг,"Everything your team needs, in one place.","Всё, что нужно вашей команде, — в одном месте.","Всё, что нужно твоей команде, в одном месте.",0.596949,0.858951
s083,маркетинг,Try it free for 30 days. No card required.,Попробуйте бесплатно 30 дней. Карта не нужна.,Попробуй бесплатно 30 дней.,0.315891,0.567306
s084,маркетинг,Join more than two million professionals.,Присоединяйтесь к двум миллионам профессионалов.,Присоединиться к более чем двум миллионам профессионалов.,0.365555,0.767057
s085,маркетинг,Your data stays yours. Always.,Ваши данные остаются вашими. Всегда.,Ваши данные остаются вашими.,0.778801,0.813351
s086,маркетинг,"Set up in minutes, not weeks.","Настройка занимает минуты, а не недели.","Устроимся через несколько минут, а не недель.",0.244462,0.416649
s087,маркетинг,Built for teams that move fast.,"Создано для команд, которые работают быстро.",Построен для быстро двигающихся команд.,0.265816,0.362572
s088,маркетинг,Say goodbye to endless spreadsheets.,Забудьте о бесконечных таблицах.,Попрощайся с бесконечными таблицами.,0.302138,0.488337
s089,маркетинг,The results speak for themselves.,Результаты говорят сами за себя.,Результаты говорят сами за себя.,1.0,1.0
s090,маркетинг,Start today — cancel any time.,Начните сегодня — отменить можно в любой момент.,Начните сегодня — отмените в любое время.,0.264436,0.61733
s091,маркетинг,Loved by designers and engineers alike.,"Его выбирают и дизайнеры, и инженеры.",Любимые дизайнерами и инженерами.,0.217929,0.483259
s092,маркетинг,One subscription for the whole company.,Одна подписка на всю компанию.,Одна подписка на всю компанию.,1.0,1.0
s093,маркетинг,"Less routine, more of the work that matters.",Меньше рутины — больше по-настоящему важной работы.,"Меньше рутины, больше работы, которая важна.",0.367983,0.599782
s094,маркетинг,See what your customers really think.,"Узнайте, что на самом деле думают ваши клиенты.","Посмотрим, что подумают ваши клиенты.",0.211895,0.493722
s095,маркетинг,Designed to grow with your business.,Растёт вместе с вашим бизнесом.,Предназначен для роста в вашем бизнесе.,0.185751,0.304355
s096,маркетинг,Save up to 40% with an annual plan.,Экономьте до 40% на годовом тарифе.,Экономьте до 40% с годовым планом.,0.411134,0.592348
s097,маркетинг,No hidden fees. Ever.,Никаких скрытых платежей. Никогда.,Никаких скрытых сборов.,0.451386,0.494488
s098,маркетинг,Bring your whole workflow together.,Соберите весь рабочий процесс воедино.,Соберите вместе весь ваш рабочий поток.,0.262691,0.574931
s099,маркетинг,Trusted by companies in 60 countries.,Нам доверяют компании из 60 стран.,Доверие компаний в 60 странах.,0.223523,0.500732
s100,маркетинг,A smarter way to plan your week.,Более разумный способ спланировать неделю.,Умнее планировать свою неделю.,0.279826,0.450002
s101,маркетинг,Because every minute counts.,Ведь важна каждая минута.,Потому что каждая минута считается.,0.359304,0.512537
s102,маркетинг,Get started in three simple steps.,Начните за три простых шага.,Начни с трёх простых шагов.,0.273012,0.537299
s103,маркетинг,"Powerful on the inside, simple on the outside.","Сложное внутри, простое снаружи.","Мощно внутри, просто снаружи.",0.397635,0.649293
s104,маркетинг,Meet the new standard for team messaging.,Новый стандарт командного общения.,Соответствует новому стандарту для командных сообщений.,0.185751,0.499345
s105,маркетинг,Your first project is on us.,Первый проект — за наш счёт.,Ваш первый проект за нами.,0.508133,0.76625
s106,маркетинг,Stop switching between five different apps.,Хватит переключаться между пятью разными приложениями.,Перестань переключаться между пятью различными приложениями.,0.434721,0.820306
s107,маркетинг,Real support from real people.,Живая поддержка от живых людей.,Настоящая поддержка от реальных людей.,0.386097,0.652722
s108,маркетинг,Ready when you are.,"Мы готовы, когда готовы вы.","Готов, когда будешь готов.",0.279826,0.455866
s109,маркетинг,Turn feedback into decisions.,Превращайте отзывы в решения.,Превратить обратную связь в решения.,0.359304,0.448015
s110,маркетинг,Security you do not have to think about.,"Безопасность, о которой не нужно думать.","Безопасность, о которой тебе не нужно думать.",0.5,0.924885
s111,маркетинг,Built on twenty years of research.,Основано на двадцати годах исследований.,Построен на двадцать лет исследований.,0.302138,0.549026
s112,маркетинг,The fastest way from idea to launch.,Кратчайший путь от идеи до запуска.,Самый быстрый путь от идеи к запуску.,0.345721,0.552914
s113,маркетинг,Free for students and non-profits.,Бесплатно для студентов и некоммерческих организаций.,Бесплатно для студентов и некоммерческих организаций.,1.0,1.0
s114,маркетинг,"Works offline, syncs when you are back.",Работает офлайн и синхронизируется при возвращении в сеть.,"Работает вне сети, синхронизируется, когда ты вернёшься.",0.178201,0.495576
s115,маркетинг,Small team? We have a plan for that.,Небольшая команда? Для неё есть отдельный тариф.,У нас есть план.,0.169723,0.125644
s116,маркетинг,Numbers you can finally trust.,"Цифры, которым наконец можно доверять.","Числа, которым ты наконец-то можешь доверять.",0.220896,0.612306
s117,маркетинг,Upgrade whenever you need more.,"Переходите на старший тариф, когда потребуется.","Улучшайся, когда тебе нужно больше.",0.223523,0.201345
s118,маркетинг,Made for the way you actually work.,"Сделано под то, как вы работаете на самом деле.","Сделана для того, как ты на самом деле работаешь.",0.277762,0.598526
s119,маркетинг,"Thousands of templates, ready to use.",Тысячи готовых шаблонов.,"Тысячи шаблонов, готовых к использованию.",0.324668,0.713824
s120,маркетинг,"Come for the speed, stay for the quality.","Останьтесь ради качества, придя за скоростью.","Приходите за скоростью, оставайтесь на уровне качества.",0.262691,0.544968
s121,юридический,These Terms govern your use of the Service.,Настоящие Условия регулируют использование Сервиса.,Эти термины регулируют ваше использование сервиса.,0.312394,0.638138
s122,юридический,By creating an account you accept the terms set out below.,"Создавая учётную запись, вы принимаете изложенные ниже условия.","Создавая счет, вы принимаете условия, изложенные ниже.",0.289858,0.687188
s123,юридический,The Company reserves the right to amend these Terms at any time.,Компания оставляет за собой право в любое время вносить изменения в настоящие Условия.,Компания оставляет за собой право в любое время внести поправки в эти положения.,0.611538,0.652105
s124,юридический,The User undertakes not to transfer access credentials to third parties.,Пользователь обязуется не передавать учётные данные третьим лицам.,Пользователь обязуется не передавать полномочия третьим сторонам.,0.469052,0.680285
s125,юридический,Personal data is processed in accordance with applicable law.,Обработка персональных данных осуществляется в соответствии с применимым законодательством.,Личные данные обрабатываются в соответствии с применимым законодательством.,0.518374,0.644886
s126,юридический,"The Service is provided on an ""as is"" basis.",Сервис предоставляется на условиях «как есть».,"Эта служба предоставляется на основе принципа «так, как оно есть».",0.188503,0.543517
s127,юридический,Liability of the parties is limited to the amount actually paid.,Ответственность сторон ограничена фактически уплаченной суммой.,Ответственность сторон ограничивается фактически выплаченными суммами.,0.312394,0.725173
s128,юридический,This Agreement enters into force upon signature by both parties.,Настоящий Договор вступает в силу с момента подписания обеими сторонами.,Настоящее Соглашение вступает в силу после его подписания обеими сторонами.,0.339325,0.677602
s129,юридический,Any dispute is subject to resolution in the courts of the Russian Federation.,Любой спор подлежит разрешению в судах Российской Федерации.,Любой спор подлежит разрешению в судах Российской Федерации.,1.0,1.0
s130,юридический,Notices are deemed delivered on the day they are sent by email.,Уведомления считаются доставленными в день их отправки по электронной почте.,"Уведомления считаются доставляемыми в день, когда они направляются по электронной почте.",0.286463,0.758525
s131,юридический,The User has the right to request deletion of their personal data.,Пользователь вправе потребовать удаления своих персональных данных.,Пользователь имеет право просить об исключении его личных данных.,0.156197,0.396627
s132,юридический,Exclusive rights to the software remain with the Licensor.,Исключительные права на программное обеспечение сохраняются за Лицензиаром.,Исключительные права на программное обеспечение остаются у Лицензора.,0.587395,0.761526
s133,юридический,Force majeure releases the parties from liability.,Обстоятельства непреодолимой силы освобождают стороны от ответственности.,Форс-мажор освобождает стороны от ответственности.,0.348017,0.527223
s134,юридический,Termination of the Agreement does not release the parties from obligations already incurred.,Расторжение Договора не освобождает стороны от уже возникших обязательств.,Прекращение действия Соглашения не освобождает стороны от уже взятых обязательств.,0.479878,0.65843
s135,юридический,Confidential information may not be disclosed for five years after termination.,Конфиденциальная информация не подлежит раскрытию в течение пяти лет после прекращения действия Договора.,Конфиденциальная информация не может разглашаться в течение пяти лет после прекращения службы.,0.532114,0.680309
s136,юридический,The Licence is granted on a non-exclusive basis.,Лицензия предоставляется на неисключительной основе.,Лицензия выдается на неисключительной основе.,0.537285,0.751524
s137,юридический,The parties have agreed on the following.,Стороны договорились о нижеследующем.,Стороны договорились о нижеследующем.,1.0,1.0
s138,юридический,Payment is made within ten banking days from the date of invoice.,Оплата производится в течение десяти банковских дней с даты выставления счёта.,Платежи производятся в течение десяти дней с даты счета-фактуры.,0.307034,0.554901
s139,юридический,The Agreement is drawn up in two copies of equal legal force.,"Договор составлен в двух экземплярах, имеющих равную юридическую силу.",Соглашение составлено в двух экземплярах одинаковой юридической силы.,0.263403,0.556309
s140,юридический,Headings are provided for convenience only and do not affect interpretation.,Заголовки приведены исключительно для удобства и не влияют на толкование.,Заголовки указываются только для удобства и не влияют на устный перевод.,0.533168,0.578919
s141,юридический,The Contractor is liable for the quality of the work performed.,Исполнитель несёт ответственность за качество выполненных работ.,Контрактор несет ответственность за качество выполненных работ.,0.680375,0.775358
s142,юридический,"If any provision is held invalid, the remaining provisions remain in force.","Если какое-либо положение будет признано недействительным, остальные положения сохраняют силу.","Если какое-либо положение считается недействительным, то остальные положения остаются в силе.",0.343893,0.688705
s143,юридический,The Customer undertakes to accept the work within five working days.,Заказчик обязуется принять работы в течение пяти рабочих дней.,Клиент обязуется принять работу в течение пяти рабочих дней.,0.581431,0.81342
s144,юридический,Assignment of rights under this Agreement requires written consent.,Уступка прав по настоящему Договору требует письменного согласия.,Уступка прав в соответствии с настоящим Соглашением требует письменного согласия.,0.279016,0.68012
s145,юридический,The Supplier warrants that the goods are free from defects.,Поставщик гарантирует отсутствие недостатков товара.,"Поставщик утверждает, что товар не имеет дефектов.",0.185751,0.330712
s146,юридический,Interest is charged for each day of delay.,За каждый день просрочки начисляется неустойка.,Проценты вносятся за каждый день задержки.,0.411134,0.40916
s147,юридический,The Agreement is governed by the law of the place of registration of the Company.,Договор регулируется правом места регистрации Компании.,Соглашение регулируется законодательством места регистрации компании.,0.434721,0.737554
s148,юридический,The User confirms that they have reached the age of eighteen.,"Пользователь подтверждает, что достиг восемнадцатилетнего возраста.","Пользователь подтверждает, что им исполнилось 18 лет.",0.345721,0.50869
s149,юридический,Use of the Service for unlawful purposes is prohibited.,Использование Сервиса в противоправных целях запрещается.,Использование этой службы в незаконных целях запрещается.,0.277762,0.598241
s150,юридический,The list of processed data categories is set out in the Annex.,Перечень категорий обрабатываемых данных приведён в Приложении.,Перечень категорий обработанных данных приводится в приложении.,0.321729,0.739973
s151,юридический,Consent may be withdrawn at any time.,Согласие может быть отозвано в любое время.,Согласие может быть отозвано в любое время.,1.0,1.0
s152,юридический,The Company does not transfer data to third countries.,Компания не передаёт данные в третьи страны.,Компания не передает данные третьим странам.,0.264436,0.731051
s153,юридический,The retention period for the data is three years.,Срок хранения данных составляет три года.,Период хранения данных составляет три года.,0.809107,0.891919
s154,юридический,The parties shall settle disputes through negotiations.,Стороны разрешают споры путём переговоров.,Стороны урегулируют споры путем переговоров.,0.324668,0.667196
s155,юридический,Failure to comply entails termination of access.,Несоблюдение влечёт прекращение доступа.,Несоблюдение влечет за собой прекращение доступа.,0.312394,0.841458
s156,юридический,The Licensee is not entitled to decompile the software.,Лицензиат не вправе декомпилировать программное обеспечение.,Лицензия не имеет права декомпилировать программное обеспечение.,0.365555,0.799759
s157,юридический,The Annex forms an integral part of the Agreement.,Приложение является неотъемлемой частью Договора.,Приложение является неотъемлемой частью Соглашения.,0.759836,0.830586
s158,юридический,Amendments are valid only if made in writing.,Изменения действительны только при их оформлении в письменном виде.,"Поправки действительны только в том случае, если они внесены в письменном виде.",0.229975,0.593155
s159,юридический,The Company processes data on a lawful basis.,Компания обрабатывает данные на законном основании.,Компания обрабатывает данные на законной основе.,0.614788,0.851354
s160,юридический,Costs incurred by each party are borne by that party.,"Расходы, понесённые каждой стороной, несёт эта сторона.","Расходы, понесенные каждой из сторон, покрываются этой стороной.",0.190708,0.661411
