id,type,en,ru_ref,ru_mt
s059,документация,You can find the full list of parameters in the appendix.,Полный список параметров приведён в приложении.,Полный список параметров можно найти в добавлении.
s060,документация,The connection is encrypted with the TLS 1.3 protocol.,Соединение шифруется по протоколу TLS 1.3.,Соединение зашифровано в протоколе TLS 1.3.
s061,документация,Verify that the port is not blocked by the firewall.,"Убедитесь, что порт не заблокирован межсетевым экраном.","Проверка того, что порт не заблокирован файерволом."
s062,документация,The report is generated in the background and may take several minutes.,Отчёт формируется в фоновом режиме и может занять несколько минут.,Отчет составляется на справочной основе и может занять несколько минут.
s063,документация,Each user account is linked to exactly one organization.,Каждая учётная запись пользователя связана ровно с одной организацией.,Каждый пользовательский счет связан с одной организацией.
s064,документация,Deleted records remain available in the archive for 90 days.,Удалённые записи остаются доступными в архиве в течение 90 дней.,Исключенные записи остаются в архиве в течение 90 дней.
s065,документация,The following example shows a minimal working configuration.,В следующем примере показана минимальная рабочая конфигурация.,Приведенный ниже пример показывает минимальную рабочую конфигурацию.
s066,документация,Read permissions are granted at the level of an individual folder.,Права на чтение выдаются на уровне отдельной папки.,Разрешения на чтение выдаются на уровне отдельной папки.
s067,документация,The migration script must be run only once.,Скрипт миграции следует запускать только один раз.,Миграционный сценарий должен быть запущен только один раз.
s068,документация,Incoming messages are placed in a queue and processed in order.,Входящие сообщения помещаются в очередь и обрабатываются по порядку.,Входящие сообщения помещаются в очередь и обрабатываются в порядке.
s069,документация,Statistics are updated once an hour.,Статистика обновляется раз в час.,Статистические данные обновляются один раз в час.
s070,документация,"To roll back the update, use the previous version of the package.",Для отката обновления используйте предыдущую версию пакета.,"Для того чтобы вернуть обновление, используйте предыдущий вариант пакета."
s071,документация,The interface language is selected in the user profile settings.,Язык интерфейса выбирается в настройках профиля пользователя.,Язык интерфейса выбирается в настройках профиля пользователя.
s072,документация,Empty values in required fields cause a validation error.,Пустые значения в обязательных полях приводят к ошибке проверки.,Пустые значения в требуемых полях вызывают ошибку в подтверждении.
s073,документация,The server responds with code 429 when the request limit is exceeded.,При превышении лимита запросов сервер отвечает кодом 429.,Сервер отвечает кодом 429 при превышении предела запроса.
s074,документация,Temporary files are removed when the session ends.,Временные файлы удаляются при завершении сеанса.,Временные файлы удаляются после окончания сессии.
s075,документация,Compatibility with earlier versions is preserved.,Совместимость с предыдущими версиями сохраняется.,Сопоставимость с предыдущими версиями сохраняется.
s076,документация,The certificate must be renewed before the expiration date.,Сертификат необходимо продлить до даты окончания срока действия.,Срок действия свидетельства должен быть продлен до истечения срока его действия.
s077,документация,Access to the API is provided over HTTPS only.,Доступ к API предоставляется только по протоколу HTTPS.,Доступ к ИПЦ обеспечивается только в случае ПЗТП.
s078,документация,Duplicate entries are ignored during import.,При импорте повторяющиеся записи игнорируются.,Дублирующие записи игнорируются во время импорта.
s079,документация,The default time zone is UTC.,Часовой пояс по умолчанию — UTC.,По умолчанию часовой пояс - UTC.
s080,документация,Detailed logging noticeably reduces performance.,Подробное журналирование заметно снижает производительность.,Детальная заготовка леса заметно снижает производительность.
s081,маркетинг,"Work faster, worry less.",Работайте быстрее и спокойнее.,"Работай быстрее, меньше волнуйся."
s082,маркетинг,"Everything your team needs, in one place.","Всё, что нужно вашей команде, — в одном месте.","Всё, что нужно твоей команде, в одном месте."
s083,маркетинг,Try it free for 30 days. No card required.,Попробуйте бесплатно 30 дней. Карта не нужна.,Попробуй бесплатно 30 дней.
s084,маркетинг,Join more than two million professionals.,Присоединяйтесь к двум миллионам профессионалов.,Присоединиться к более чем двум миллионам профессионалов.
s085,маркетинг,Your data stays yours. Always.,Ваши данные остаются вашими. Всегда.,Ваши данные остаются вашими.
s086,маркетинг,"Set up in minutes, not weeks.","Настройка занимает минуты, а не недели.","Устроимся через несколько минут, а не недель."
s087,маркетинг,Built for teams that move fast.,"Создано для команд, которые работают быстро.",Построен для быстро двигающихся команд.
s088,маркетинг,Say goodbye to endless spreadsheets.,Забудьте о бесконечных таблицах.,Попрощайся с бесконечными таблицами.
s089,маркетинг,The results speak for themselves.,Результаты говорят сами за себя.,Результаты говорят сами за себя.
s090,маркетинг,Start today — cancel any time.,Начните сегодня — отменить можно в любой момент.,Начните сегодня — отмените в любое время.
s091,маркетинг,Loved by designers and engineers alike.,"Его выбирают и дизайнеры, и инженеры.",Любимые дизайнерами и инженерами.
s092,маркетинг,One subscription for the whole company.,Одна подписка на всю компанию.,Одна подписка на всю компанию.
s093,маркетинг,"Less routine, more of the work that matters.",Меньше рутины — больше по-настоящему важной работы.,"Меньше рутины, больше работы, которая важна."
s094,маркетинг,See what your customers really think.,"Узнайте, что на самом деле думают ваши клиенты.","Посмотрим, что подумают ваши клиенты."
s095,маркетинг,Designed to grow with your business.,Растёт вместе с вашим бизнесом.,Предназначен для роста в вашем бизнесе.
s096,маркетинг,Save up to 40% with an annual plan.,Экономьте до 40% на годовом тарифе.,Экономьте до 40% с годовым планом.
s097,маркетинг,No hidden fees. Ever.,Никаких скрытых платежей. Никогда.,Никаких скрытых сборов.
s098,маркетинг,Bring your whole workflow together.,Соберите весь рабочий процесс воедино.,Соберите вместе весь ваш рабочий поток.
s099,маркетинг,Trusted by companies in 60 countries.,Нам доверяют компании из 60 стран.,Доверие компаний в 60 странах.
s100,маркетинг,A smarter way to plan your week.,Более разумный способ спланировать неделю.,Умнее планировать свою неделю.
s101,маркетинг,Because every minute counts.,Ведь важна каждая минута.,Потому что каждая минута считается.
s102,маркетинг,Get started in three simple steps.,Начните за три простых шага.,Начни с трёх простых шагов.
s103,маркетинг,"Powerful on the inside, simple on the outside.","Сложное внутри, простое снаружи.","Мощно внутри, просто снаружи."
s104,маркетинг,Meet the new standard for team messaging.,Новый стандарт командного общения.,Соответствует новому стандарту для командных сообщений.
s105,маркетинг,Your first project is on us.,Первый проект — за наш счёт.,Ваш первый проект за нами.
s106,маркетинг,Stop switching between five different apps.,Хватит переключаться между пятью разными приложениями.,Перестань переключаться между пятью различными приложениями.
s107,маркетинг,Real support from real people.,Живая поддержка от живых людей.,Настоящая поддержка от реальных людей.
s108,маркетинг,Ready when you are.,"Мы готовы, когда готовы вы.","Готов, когда будешь готов."
s109,маркетинг,Turn feedback into decisions.,Превращайте отзывы в решения.,Превратить обратную связь в решения.
s110,маркетинг,Security you do not have to think about.,"Безопасность, о которой не нужно думать.","Безопасность, о которой тебе не нужно думать."
s111,маркетинг,Built on twenty years of research.,Основано на двадцати годах исследований.,Построен на двадцать лет исследований.
s112,маркетинг,The fastest way from idea to launch.,Кратчайший путь от идеи до запуска.,Самый быстрый путь от идеи к запуску.
s113,маркетинг,Free for students and non-profits.,Бесплатно для студентов и некоммерческих организаций.,Бесплатно для студентов и некоммерческих организаций.
s114,маркетинг,"Works offline, syncs when you are back.",Работает офлайн и синхронизируется при возвращении в сеть.,"Работает вне сети, синхронизируется, когда ты вернёшься."
s115,маркетинг,Small team? We have a plan for that.,Небольшая команда? Для неё есть отдельный тариф.,У нас есть план.
s116,маркетинг,Numbers you can finally trust.,"Цифры, которым наконец можно доверять.","Числа, которым ты наконец-то можешь доверять."
s117,маркетинг,Upgrade whenever you need more.,"Переходите на старший тариф, когда потребуется.","Улучшайся, когда тебе нужно больше."
s118,маркетинг,Made for the way you actually work.,"Сделано под то, как вы работаете на самом деле.","Сделана для того, как ты на самом деле работаешь."
s119,маркетинг,"Thousands of templates, ready to use.",Тысячи готовых шаблонов.,"Тысячи шаблонов, готовых к использованию."
s120,маркетинг,"Come for the speed, stay for the quality.","Останьтесь ради качества, придя за скоростью.","Приходите за скоростью, оставайтесь на уровне качества."
s121,юридический,These Terms govern your use of the Service.,Настоящие Условия регулируют использование Сервиса.,Эти термины регулируют ваше использование сервиса.
s122,юридический,By creating an account you accept the terms set out below.,"Создавая учётную запись, вы принимаете изложенные ниже условия.","Создавая счет, вы принимаете условия, изложенные ниже."
s123,юридический,The Company reserves the right to amend these Terms at any time.,Компания оставляет за собой право в любое время вносить изменения в настоящие Условия.,Компания оставляет за собой право в любое время внести поправки в эти положения.
s124,юридический,The User undertakes not to transfer access credentials to third parties.,Пользователь обязуется не передавать учётные данные третьим лицам.,Пользователь обязуется не передавать полномочия третьим сторонам.
s125,юридический,Personal data is processed in accordance with applicable law.,Обработка персональных данных осуществляется в соответствии с применимым законодательством.,Личные данные обрабатываются в соответствии с применимым законодательством.
s126,юридический,"The Service is provided on an ""as is"" basis.",Сервис предоставляется на условиях «как есть».,"Эта служба предоставляется на основе принципа «так, как оно есть»."
s127,юридический,Liability of the parties is limited to the amount actually paid.,Ответственность сторон ограничена фактически уплаченной суммой.,Ответственность сторон ограничивается фактически выплаченными суммами.
s128,юридический,This Agreement enters into force upon signature by both parties.,Настоящий Договор вступает в силу с момента подписания обеими сторонами.,Настоящее Соглашение вступает в силу после его подписания обеими сторонами.
s129,юридический,Any dispute is subject to resolution in the courts of the Russian Federation.,Любой спор подлежит разрешению в судах Российской Федерации.,Любой спор подлежит разрешению в судах Российской Федерации.
s130,юридический,Notices are deemed delivered on the day they are sent by email.,Уведомления считаются доставленными в день их отправки по электронной почте.,"Уведомления считаются доставляемыми в день, когда они направляются по электронной почте."
s131,юридический,The User has the right to request deletion of their personal data.,Пользователь вправе потребовать удаления своих персональных данных.,Пользователь имеет право просить об исключении его личных данных.
s132,юридический,Exclusive rights to the software remain with the Licensor.,Исключительные права на программное обеспечение сохраняются за Лицензиаром.,Исключительные права на программное обеспечение остаются у Лицензора.
s133,юридический,Force majeure releases the parties from liability.,Обстоятельства непреодолимой силы освобождают стороны от ответственности.,Форс-мажор освобождает стороны от ответственности.
s134,юридический,Termination of the Agreement does not release the parties from obligations already incurred.,Расторжение Договора не освобождает стороны от уже возникших обязательств.,Прекращение действия Соглашения не освобождает стороны от уже взятых обязательств.
s135,юридический,Confidential information may not be disclosed for five years after termination.,Конфиденциальная информация не подлежит раскрытию в течение пяти лет после прекращения действия Договора.,Конфиденциальная информация не может разглашаться в течение пяти лет после прекращения службы.
s136,юридический,The Licence is granted on a non-exclusive basis.,Лицензия предоставляется на неисключительной основе.,Лицензия выдается на неисключительной основе.
s137,юридический,The parties have agreed on the following.,Стороны договорились о нижеследующем.,Стороны договорились о нижеследующем.
s138,юридический,Payment is made within ten banking days from the date of invoice.,Оплата производится в течение десяти банковских дней с даты выставления счёта.,Платежи производятся в течение десяти дней с даты счета-фактуры.
s139,юридический,The Agreement is drawn up in two copies of equal legal force.,"Договор составлен в двух экземплярах, имеющих равную юридическую силу.",Соглашение составлено в двух экземплярах одинаковой юридической силы.
s140,юридический,Headings are provided for convenience only and do not affect interpretation.,Заголовки приведены исключительно для удобства и не влияют на толкование.,Заголовки указываются только для удобства и не влияют на устный перевод.
s141,юридический,The Contractor is liable for the quality of the work performed.,Исполнитель несёт ответственность за качество выполненных работ.,Контрактор несет ответственность за качество выполненных работ.
s142,юридический,"If any provision is held invalid, the remaining provisions remain in force.","Если какое-либо положение будет признано недействительным, остальные положения сохраняют силу.","Если какое-либо положение считается недействительным, то остальные положения остаются в силе."
s143,юридический,The Customer undertakes to accept the work within five working days.,Заказчик обязуется принять работы в течение пяти рабочих дней.,Клиент обязуется принять работу в течение пяти рабочих дней.
s144,юридический,Assignment of rights under this Agreement requires written consent.,Уступка прав по настоящему Договору требует письменного согласия.,Уступка прав в соответствии с настоящим Соглашением требует письменного согласия.
s145,юридический,The Supplier warrants that the goods are free from defects.,Поставщик гарантирует отсутствие недостатков товара.,"Поставщик утверждает, что товар не имеет дефектов."
s146,юридический,Interest is charged for each day of delay.,За каждый день просрочки начисляется неустойка.,Проценты вносятся за каждый день задержки.
s147,юридический,The Agreement is governed by the law of the place of registration of the Company.,Договор регулируется правом места регистрации Компании.,Соглашение регулируется законодательством места регистрации компании.
s148,юридический,The User confirms that they have reached the age of eighteen.,"Пользователь подтверждает, что достиг восемнадцатилетнего возраста.","Пользователь подтверждает, что им исполнилось 18 лет."
s149,юридический,Use of the Service for unlawful purposes is prohibited.,Использование Сервиса в противоправных целях запрещается.,Использование этой службы в незаконных целях запрещается.
s150,юридический,The list of processed data categories is set out in the Annex.,Перечень категорий обрабатываемых данных приведён в Приложении.,Перечень категорий обработанных данных приводится в приложении.
s151,юридический,Consent may be withdrawn at any time.,Согласие может быть отозвано в любое время.,Согласие может быть отозвано в любое время.
s152,юридический,The Company does not transfer data to third countries.,Компания не передаёт данные в третьи страны.,Компания не передает данные третьим странам.
s153,юридический,The retention period for the data is three years.,Срок хранения данных составляет три года.,Период хранения данных составляет три года.
s154,юридический,The parties shall settle disputes through negotiations.,Стороны разрешают споры путём переговоров.,Стороны урегулируют споры путем переговоров.
s155,юридический,Failure to comply entails termination of access.,Несоблюдение влечёт прекращение доступа.,Несоблюдение влечет за собой прекращение доступа.
s156,юридический,The Licensee is not entitled to decompile the software.,Лицензиат не вправе декомпилировать программное обеспечение.,Лицензия не имеет права декомпилировать программное обеспечение.
s157,юридический,The Annex forms an integral part of the Agreement.,Приложение является неотъемлемой частью Договора.,Приложение является неотъемлемой частью Соглашения.
s158,юридический,Amendments are valid only if made in writing.,Изменения действительны только при их оформлении в письменном виде.,"Поправки действительны только в том случае, если они внесены в письменном виде."
s159,юридический,The Company processes data on a lawful basis.,Компания обрабатывает данные на законном основании.,Компания обрабатывает данные на законной основе.
s160,юридический,Costs incurred by each party are borne by that party.,"Расходы, понесённые каждой стороной, несёт эта сторона.","Расходы, понесенные каждой из сторон, покрываются этой стороной."
